"Reference","Qty","Value","Manufacturer","MPN"
"C1","1","100n","0","CL05B104KO5NNNC"
"C2","1","100n","0","CL05B104KO5NNNC"
"C3","1","100n","0","CL05B104KO5NNNC"
"C4","1","100n","0","CL05B104KO5NNNC"
"C5","1","100n","0","CL05B104KO5NNNC"
"C6","1","100n","0","CL05B104KO5NNNC"
"C7","1","100n","0","CL05B104KO5NNNC"
"C8","1","100n","0","CL05B104KO5NNNC"
"C9","1","100n","0","CL05B104KO5NNNC"
"C10","1","100n","0","CL05B104KO5NNNC"
"C11","1","100u","Murata Electronics","GRM31CR61A107MEA8K"
"C12","1","10u","Samsung Electro-Mechanics","CL05A106MQ5NUNC"
"C13","1","10u","Samsung Electro-Mechanics","CL05A106MQ5NUNC"
"C14","1","4.7u","Samsung Electro-Mechanics","CL10A475KP8NNNC"
"C15","1","4.7u","Samsung Electro-Mechanics","CL10A475KP8NNNC"
"C16","1","4.7u","Samsung Electro-Mechanics","CL10A475KP8NNNC"
"C17","1","100n","0","CL05B104KO5NNNC"
"C18","1","100n","0","CL05B104KO5NNNC"
"C19","1","100n","0","CL05B104KO5NNNC"
"C20","1","15p","FH","0402CG150J500NT"
"C21","1","15p","FH","0402CG150J500NT"
"C22","1","C","",""
"C23","1","C","",""
"C24","1","TMK212BBJ106KG","","TMK212BBJ106KG"
"C25","1","GRM31CR71A226KE15L","","GRM31CR71A226KE15L"
"C26","1","1uF","",""
"C27","1","47nF","",""
"C28","1","47nF","",""
"C29","1","47nF","",""
"C30","1","47nF","",""
"C31","1","100nF","",""
"Cbst1","1","100nF","","08053C104KAT2A"
"Ccomp1","1","3.9nF","","CGA4C2C0G1H392J060AA"
"Ccomp2","1","130pF","","GRM1555C1H131GA01D"
"Cin1","1","56uF","","20SVPF56MX"
"Cout1","1","180uF","","25SVPF180M"
"Cout2","1","180uF","","25SVPF180M"
"Cout3","1","180uF","","25SVPF180M"
"Coutx1","1","47uF","","C3216X5R1E476M160AC"
"CR1","1","40V 1A Schottky","","SS14-E3/61T"
"CR2","1","40V 1A Schottky","","SS14-E3/61T"
"Cres1","1","470nF","","TMK212BJ474KD-T"
"Css1","1","33nF","","GRM155R71A333KA01D"
"Cvcc1","1","4.7uF","","MSAST21GAB5475MTNAO1"
"Cvin1","1","470nF","","C1005X5R1V474K050BC"
"D1","1","WS2812B","TUOZHAN","WS2812B"
"D2","1","WS2812B","TUOZHAN","WS2812B"
"D3","1","WS2812B","TUOZHAN","WS2812B"
"D4","1","WS2812B","TUOZHAN","WS2812B"
"D5","1","WS2812B","TUOZHAN","WS2812B"
"D6","1","WS2812B","TUOZHAN","WS2812B"
"D7","1","WS2812B","TUOZHAN","WS2812B"
"D8","1","WS2812B","TUOZHAN","WS2812B"
"D9","1","WS2812B","TUOZHAN","WS2812B"
"D10","1","WS2812B","TUOZHAN","WS2812B"
"D11","1","D","",""
"D12","1","D","",""
"Dbst1","1","D","","SK215ATR"
"IC1","1","INA240A2DR","","INA240A2DR"
"J1","1","2606-1108/010-000","",""
"J2","1","2606-1352","",""
"J3","1","USB_C_Receptacle_USB2.0_14P","HRO Electronics","TYPE-C-31-M-12"
"J4","1","470531000","",""
"J5","1","2604-1103","",""
"L1","1","3.3u","Abracon","AOTA-B201610S3R3-101-T"
"L2","1","1.8uH","","XAL1580-182MEB"
"L3","1","PA4332.222NLT","","PA4332.222NLT"
"Q1","1","25V 60A N-Ch","","CSD16323Q3"
"Q2","1","30V 56A N-Ch","","CSD17304Q3"
"Q3","1","100V 150A N-Ch","","CSD19536KCS"
"Q4","1","100V 150A N-Ch","","CSD19536KCS"
"Q5","1","100V 150A N-Ch","","CSD19536KCS"
"Q6","1","100V 150A N-Ch","","CSD19536KCS"
"R1","1","330","YAGEO","RC0603FR-07330RL"
"R2","1","5.1k","YAGEO","RC0603FR-075K1L"
"R3","1","5.1k","YAGEO","RC0603FR-075K1L"
"R4","1","33","YAGEO","RC0603FR-0733RL"
"R5","1","27","YAGEO","RC0603FR-0727RL"
"R6","1","27","YAGEO","RC0603FR-0727RL"
"R7","1","1k","YAGEO","RC0402FR-071KL"
"R8","1","10k","YAGEO","RC0603FR-0710KL"
"R9","1","10k","YAGEO","RC0603FR-0710KL"
"R10","1","R","",""
"R11","1","1k","YAGEO","RC0402FR-071KL"
"R12","1","R","",""
"R13","1","10k","",""
"R14","1","10k","",""
"R15","1","10k","",""
"R16","1","10k","",""
"R17","1","R","",""
"R18","1","R","",""
"R19","1","RC0603FR-07180KL","","RC0603FR-07180KL"
"R20","1","CRCW0402953KFKED","","CRCW0402953KFKED"
"R21","1","CRCW0402100KFKED","","CRCW0402100KFKED"
"R22","1","10k","",""
"R23","1","4.7k","",""
"R24","1","4.7k","",""
"R25","1","36.5k","",""
"R26","1","10k","",""
"R27","1","43.2k","",""
"R28","1","10k","",""
"R29","1","45.3k","",""
"R30","1","10k","",""
"R31","1","45.3k","",""
"R32","1","10k","",""
"R33","1","22","",""
"Rcomp1","1","28.7k","","RC0201FR-0728K7L"
"RCS1","1","2m","","CSNL2512FT2L00"
"Rfbb1","1","3.79k","","MPN00CenterCenter00"
"Rfbt1","1","49.9k","","CRCW040249K9FKED"
"Rsense1","1","2m","","CSNL1206FT2L00"
"Rslope1","1","105k","","RC0201FR-07105KL"
"Rt1","1","18.2k","","CRCW040218K2FKED"
"Ruvb1","1","7.15k","","CRCW04027K15FKED"
"Ruvt1","1","49.9k","","CRCW040249K9FKED"
"Rvin1","1","3.01","","CRCW04023R01FKED"
"SW1","1","PTS636 SM43J SMTR LFS","C&K","PTS636SM43JSMTR LFS"
"U1","1","RP2354A","Raspberry Pi","RP2354A"
"U2","1","AMS1117-3.3","EVVO","AMS1117-3.3"
"U3","1","74AHCT1G125","Texas Instruments","SN74AHCT1G125DBVR"
"U4","1","LM5122MH/NOPB","","LM5122MH/NOPB"
"U5","1","UCC27735DR","","UCC27735DR"
"U6","1","UCC27735DR","","UCC27735DR"
"U7","1","TPS62160DSGR","","TPS62160DSGR"
"U8","1","TMP235A2DBZR","","TMP235A2DBZR"
"U9","1","TMP235A2DBZR","","TMP235A2DBZR"
"U10","1","ADS7128IRTER","","ADS7128IRTER"
"X1","1","ABM8-272-T3","Abracon LLC","ABM8-272-T3"
